date,position,title,artist,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
2022-06-17,32,FLOWERS,LAUREN SPENCER-SMITH,USUG12202231,0.869,0.656,157373,0.46,0.0,3,0.0873,-9.73,1,0.627,68.062,4,0.304,sad
2022-06-17,33,FIRST CLASS,JACK HARLOW,USAT22203024,0.111,0.902,173948,0.582,3.18e-06,5,0.111,-5.902,0,0.109,107.005,4,0.332,agitated
2022-06-17,34,REMIND ME,TOM GRENNAN,GBARL2200252,0.0603,0.599,211167,0.831,0.0,11,0.204,-4.188,1,0.0439,132.019,4,0.624,happy
2022-06-17,35,DON'T FORGET MY LOVE,DIPLO & MIGUEL,USZ4V2200009,0.0239,0.638,199091,0.875,0.0149,2,0.119,-6.222,1,0.0413,121.035,4,0.251,agitated
2022-06-17,36,IN THE STARS,BENSON BOONE,USWB12201574,0.338,0.362,216410,0.54,0.0,10,0.139,-6.031,1,0.0528,78.007,3,0.3,agitated
2022-06-17,37,BAM BAM,CAMILA CABELLO FT ED SHEERAN,USSM12200047,0.182,0.756,206071,0.697,0.0,8,0.333,-6.377,1,0.0401,94.996,4,0.956,happy
2022-06-17,38,SHIVERS,ED SHEERAN,GBAHS2100816,0.0646,0.744,127766,0.828,1.4e-05,2,0.0858,-5.911,1,0.0289,124.029,4,0.579,happy
2022-06-17,39,HEAT WAVES,GLASS ANIMALS,GBUM72000433,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,happy
2022-06-17,40,STAY THE NIGHT,SIGALA & TALIA MAR,GBCEN2200051,0.177,0.636,171955,0.936,0.0,7,0.0879,-2.65,0,0.0729,124.034,4,0.415,agitated
2022-06-24,1,RUNNING UP THAT HILL,KATE BUSH,GBCNR8500002,0.719,0.629,298933,0.545,0.00308,10,0.0604,-13.123,0,0.0546,108.376,4,0.194,agitated
2022-06-24,2,AS IT WAS,HARRY STYLES,USSM12200612,0.342,0.52,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,happy
2022-06-24,3,AFRAID TO FEEL,LF SYSTEM,GBAHT2200492,0.0166,0.578,177525,0.912,0.00362,1,0.273,-3.929,1,0.114,127.87,4,0.68,happy
2022-06-24,4,GO,CAT BURNS,GBKPL2013050,0.88,0.663,215000,0.251,0.0,6,0.0932,-9.87,0,0.0435,90.272,4,0.528,calm
2022-06-24,5,GREEN GREEN GRASS,GEORGE EZRA,GB1102200463,0.0695,0.685,167614,0.738,0.0,8,0.128,-4.413,1,0.0595,112.972,4,0.8,happy
2022-06-24,6,ABOUT DAMN TIME,LIZZO,USAT22202139,0.0995,0.836,191822,0.743,0.0,10,0.335,-6.305,0,0.0656,108.966,4,0.722,happy
2022-06-24,7,JIMMY COOKS,DRAKE FT 21 SAVAGE,USUG12204898,0.00028,0.551,218365,0.664,5.47e-06,0,0.093,-4.75,1,0.184,156.026,4,0.415,agitated
2022-06-24,8,MASSIVE,DRAKE,USUG12204890,0.114,0.499,336924,0.671,0.0169,4,0.148,-6.774,0,0.0561,124.994,3,0.0557,agitated
2022-06-24,9,LATE NIGHT TALKING,HARRY STYLES,USSM12200610,0.298,0.714,177955,0.728,0.0,10,0.106,-4.595,1,0.0468,114.996,4,0.901,happy
2022-06-24,10,FALLING BACK,DRAKE,USUMV2201747,0.942,0.449,173640,0.353,0.0786,7,0.109,-12.986,1,0.0915,165.888,4,0.55,calm
2022-06-24,11,MUSIC FOR A SUSHI RESTAURANT,HARRY STYLES,USSM12200609,0.258,0.72,193813,0.715,0.0568,11,0.107,-4.652,1,0.04,107.041,4,0.357,agitated
2022-06-24,12,IFTK,TION WAYNE & LA ROUX,GBAHS2200651,0.0781,0.614,190685,0.82,8.18e-05,6,0.618,-4.32,0,0.226,146.235,4,0.739,happy
2022-06-24,13,CRAZY WHAT LOVE CAN DO,DAVID GUETTA/HILL/HENDERSON,UKWLG2200001,0.0282,0.601,169756,0.713,0.0,4,0.158,-3.758,0,0.0449,122.872,4,0.464,agitated
2022-06-24,14,GLIMPSE OF US,JOJI,USWB12201789,0.891,0.44,233456,0.317,4.78e-06,8,0.141,-9.258,1,0.0531,169.914,3,0.268,sad
2022-06-24,15,21 REASONS,NATHAN DAWE FT ELLA HENDERSON,GBAHS2200261,0.0165,0.621,155253,0.785,5.92e-06,6,0.0512,-4.499,1,0.11,123.96,4,0.779,happy
2022-06-24,16,SPACE MAN,SAM RYDER,GBAYE2101762,0.181,0.467,217320,0.828,0.0,11,0.102,-2.22,1,0.0489,79.978,4,0.334,agitated
2022-06-24,17,PERU,FIREBOY DML & ED SHEERAN,USUYG1403104,0.572,0.956,187111,0.417,0.00071,7,0.0782,-7.892,0,0.0926,108.015,4,0.714,calm
2022-06-24,18,WHERE DID YOU GO,JAX JONES FT MNEK,GBUM72108841,0.182,0.763,177689,0.782,7.08e-06,7,0.293,-4.541,0,0.0346,127.034,4,0.502,happy
2022-06-24,19,2STEP,ED SHEERAN,GBAHS2100722,0.169,0.763,153627,0.661,0.0,4,0.117,-5.592,0,0.056,95.002,4,0.632,happy
2022-06-24,20,WAIT FOR U,FUTURE FT DRAKE & TEMS,USSM12203789,0.314,0.463,189893,0.642,0.0,1,0.0686,-4.474,1,0.34,83.389,4,0.339,agitated
2022-06-24,21,BREAK MY SOUL,BEYONCE,USSM12206234,0.0581,0.693,278282,0.887,2.71e-06,1,0.27,-5.039,0,0.0795,114.942,4,0.864,happy
2022-06-24,22,LAST LAST,BURNA BOY,USAT22204901,0.131,0.795,172342,0.565,0.0,3,0.0802,-4.457,0,0.0948,87.925,4,0.55,happy
2022-06-24,23,JE M'APPELLE,BENZZ,GBUM72202219,0.17,0.807,139574,0.75,0.0,11,0.164,-4.396,1,0.237,141.176,4,0.961,happy
2022-06-24,24,POTION,CALVIN HARRIS/DUA LIPA/YOUNG,GBARL2201128,0.158,0.824,214460,0.697,4.11e-05,11,0.077,-4.869,0,0.0473,99.988,4,0.757,happy
2022-06-24,25,ELEGANT & GANG,D-BLOCK EUROPE/GHOST KILLER,GB2DY2200675,0.638,0.7,205200,0.459,0.0,9,0.0981,-12.959,1,0.346,99.988,4,0.468,sad
2022-06-24,26,SHE'S ALL I WANNA BE,TATE MCRAE,USRC12200322,0.0129,0.602,207120,0.626,9.02e-06,2,0.144,-5.323,0,0.0396,160.118,4,0.619,happy
2022-06-24,27,HOLD MY HAND,LADY GAGA,USUV72202087,0.0387,0.519,225300,0.617,0.0,7,0.401,-4.287,1,0.0313,147.708,3,0.222,agitated
2022-06-24,28,STAY THE NIGHT,SIGALA & TALIA MAR,GBCEN2200051,0.177,0.636,171955,0.936,0.0,7,0.0879,-2.65,0,0.0729,124.034,4,0.415,agitated
2022-06-24,29,ANYONE FOR YOU,GEORGE EZRA,GBARL2200007,0.293,0.662,187682,0.807,3.55e-06,10,0.189,-3.285,1,0.0411,103.031,4,0.772,happy
2022-06-24,30,BIG ENERGY,LATTO/MARIAH CAREY/DJ KHALED,USRV82101200,0.0421,0.87,181666,0.775,1.8e-06,11,0.14,-3.703,0,0.0865,106.001,4,0.792,happy
2022-06-24,31,I AIN'T WORRIED,ONEREPUBLIC,USUM72206227,0.0826,0.704,148486,0.797,0.000745,0,0.0546,-5.927,1,0.0475,139.994,4,0.825,happy
2022-06-24,32,I LIKE YOU (A HAPPIER SONG),POST MALONE FT DOJA CAT,USUM72208035,0.106,0.736,192841,0.681,0.0,5,0.12,-6.063,1,0.0745,100.924,4,0.481,agitated
2022-06-24,33,REMIND ME,TOM GRENNAN,GBARL2200252,0.0603,0.599,211167,0.831,0.0,11,0.204,-4.188,1,0.0439,132.019,4,0.624,happy
2022-06-24,34,BAD HABITS,ED SHEERAN,GBAHS2100318,0.0451,0.807,230747,0.893,2.79e-05,11,0.366,-3.745,0,0.0347,126.011,4,0.537,happy
2022-06-24,35,FLOWERS,LAUREN SPENCER-SMITH,USUG12202231,0.869,0.656,157373,0.46,0.0,3,0.0873,-9.73,1,0.627,68.062,4,0.304,sad
2022-06-24,36,WHERE ARE YOU NOW,LOST FREQUENCIES/CALUM SCOTT,BEHP42100067,0.515,0.671,148197,0.636,0.000411,6,0.172,-8.117,0,0.103,120.966,4,0.262,agitated
2022-06-24,37,COOPED UP,POST MALONE FT RODDY RICCH,USUM72208020,0.038,0.669,185857,0.773,0.0,0,0.113,-5.619,1,0.153,93.923,4,0.377,agitated
2022-06-24,38,DON'T FORGET MY LOVE,DIPLO & MIGUEL,USZ4V2200009,0.0239,0.638,199091,0.875,0.0149,2,0.119,-6.222,1,0.0413,121.035,4,0.251,agitated
2022-06-24,39,HEAT WAVES,GLASS ANIMALS,GBUM72000433,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,happy
2022-06-24,40,IN THE STARS,BENSON BOONE,USWB12201574,0.338,0.362,216410,0.54,0.0,10,0.139,-6.031,1,0.0528,78.007,3,0.3,agitated
