,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1602,2019-02-01,3,DANCING WITH A STRANGER,GBUM71807386,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
1603,2019-02-01,4,GIANT,GB1101801908,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606
1604,2019-02-01,5,WOW.,USUM71822626,0.136,0.829,149547,0.539,1.78e-06,11,0.103,-7.359,0,0.208,99.96,4,0.388
1605,2019-02-01,6,NOTHING BREAKS LIKE A HEART,GBARL1801571,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244
1606,2019-02-01,7,DON'T CALL ME UP,GBUM71808052,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234
1607,2019-02-01,8,SUNFLOWER,USUV71803661,0.533,0.755,157560,0.522,0.0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925
1608,2019-02-01,9,MIDDLE CHILD,QMJMT1902056,0.149,0.837,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463
1609,2019-02-01,10,SOMEONE YOU LOVED,DEUM71806776,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
1610,2019-02-01,11,OPTIONS,QM6P41894589,0.387,0.836,240082,0.621,9.16e-05,1,0.104,-4.685,0,0.0892,101.995,4,0.762
1611,2019-02-01,12,PLAY,GBUM71807392,0.0276,0.767,186560,0.788,2.13e-05,11,0.391,-7.718,0,0.0444,125.036,4,0.591
1612,2019-02-01,13,GUN LEAN,UKRL31800005,0.364,0.91,213747,0.643,1.67e-05,8,0.101,-8.929,1,0.432,139.95,4,0.729
1613,2019-02-01,14,WITHOUT ME,USUM71813499,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
1614,2019-02-01,15,GOING BAD,USAT21812712,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
1615,2019-02-01,16,UNDECIDED,USRC11803551,0.288,0.407,185000,0.612,0.0,5,0.198,-4.387,0,0.13,96.943,4,0.488
1616,2019-02-01,17,LOST WITHOUT YOU,UK8E21701401,0.932,0.386,225853,0.136,0.0,6,0.0653,-9.267,1,0.0458,67.016,3,0.0976
1617,2019-02-01,18,ZEZE,USAT21811523,0.0521,0.861,228760,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,4,0.504
1618,2019-02-01,19,LOST IN THE FIRE,USQX91803314,0.0933,0.658,202093,0.671,0.000927,2,0.115,-12.21,1,0.0363,100.966,4,0.166
1619,2019-02-01,20,HELLO MY LOVE,GBUM71807035,0.0971,0.679,214212,0.717,0.0,0,0.124,-4.548,1,0.0384,121.96,4,0.255
1620,2019-02-01,21,HOLD MY GIRL,GBARL1701376,0.597,0.614,211764,0.527,0.0,10,0.11,-6.374,1,0.0302,121.941,4,0.354
1621,2019-02-01,22,THANK U NEXT,USUM71819361,0.229,0.717,207320,0.653,0.0,1,0.101,-5.634,1,0.0658,106.966,4,0.412
1622,2019-02-01,23,18HUNNA,GBARL1801740,0.316,0.628,189322,0.578,1.68e-06,10,0.11,-8.387,0,0.479,145.005,4,0.377
1623,2019-02-01,24,BABY SHARK,KRE671700001,0.259,0.829,80927,0.886,0.0,8,0.0559,-1.746,1,0.112,115.056,4,0.777
1624,2019-02-01,25,SWAN SONG,GBAHT1900097,0.00579,0.588,182075,0.821,0.000275,5,0.208,-6.54,0,0.216,188.098,4,0.509
1625,2019-02-01,26,SHALLOW,USUM71813192,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
1626,2019-02-01,27,CLOSE TO ME,GBUM71805350,0.0954,0.575,182623,0.758,0.0,1,0.394,-5.029,0,0.0618,144.107,4,0.493
1627,2019-02-01,28,SHOTGUN,GBARL1701372,0.286,0.673,201287,0.735,0.0,5,0.242,-4.733,1,0.0457,115.744,4,0.754
1628,2019-02-01,29,BABY,GBAHS1800640,0.356,0.755,205440,0.74,1.05e-05,0,0.0994,-5.354,0,0.04,116.946,4,0.33
1629,2019-02-01,30,LEAVE ME ALONE,QMKSC1800039,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
1630,2019-02-01,31,SATURDAY NIGHTS,USRC11803517,0.606,0.551,210667,0.44,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,0.341
1631,2019-02-01,32,COMFORTABLE,GBARL1900030,0.202,0.618,227600,0.649,0.0,1,0.103,-6.622,0,0.243,100.534,4,0.517
1632,2019-02-01,33,THURSDAY,GBAHS1800454,0.452,0.603,216239,0.554,0.0,2,0.0545,-4.381,1,0.0646,111.989,4,0.354
1633,2019-02-01,34,THINK ABOUT US,GB1101900104,0.0845,0.512,234946,0.795,0.0,8,0.102,-3.714,1,0.146,175.989,4,0.432
1634,2019-02-01,35,ONE KISS,GBARL1800368,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
1635,2019-02-01,36,PSYCH OUT,UKQNW1800009,0.707,0.733,175520,0.555,0.0,9,0.0961,-9.83,1,0.244,77.585,4,0.335
1636,2019-02-01,37,MO BAMBA,QM24S1703585,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261
1637,2019-02-01,38,SWERVIN,USAT21812918,0.0153,0.581,189487,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434
1638,2019-02-01,39,ADVICE,UKFBX1800008,0.201,0.911,192571,0.529,0.0,9,0.101,-7.996,0,0.328,105.067,4,0.76
1639,2019-02-01,40,NIGHTS LIKE THIS,USAT21813049,0.367,0.61,201788,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,0.291
1640,2019-02-08,1,7 RINGS,USUM71900111,0.559,0.78,178627,0.321,0.0,1,0.0881,-10.747,0,0.371,139.961,4,0.316
1641,2019-02-08,2,SWEET BUT PSYCHO,USAT21802011,0.0684,0.72,187436,0.706,0.0,1,0.166,-4.719,1,0.0473,133.002,4,0.62
1642,2019-02-08,3,DANCING WITH A STRANGER,GBUM71807386,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
1643,2019-02-08,4,GIANT,GB1101801908,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606
1644,2019-02-08,5,DON'T CALL ME UP,GBUM71808052,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234
1645,2019-02-08,6,WOW.,USUM71822626,0.136,0.829,149547,0.539,1.78e-06,11,0.103,-7.359,0,0.208,99.96,4,0.388
1646,2019-02-08,7,BURY A FRIEND,USUM71900770,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
1647,2019-02-08,8,NOTHING BREAKS LIKE A HEART,GBARL1801571,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244
