isrc,artist,artist_id,track_name,track_spotify_id
USUM72013343,POP SMOKE,0eDvMgVFoNV3TpwtrVCoTj,WHAT YOU KNOW BOUT LOVE,4g7ErSF4oImNnITtyiFowz
USUM72105935,BILLIE EILISH,6qqNVTkY8uBg9cP3Jd7DAH,NDA,38GBNKZUhfBkk3oNlWzRYd
QMJMT1801608,J COLE,6l3HvQ5sa6mXTsMTB19rO5,PHOTOGRAPH,0rQxJYkzMkcbed8NVmpvvT
USUG11801809,LIL BABY & GUNNA,5f7VJjfbwm532GiveGC0ZK,DRIP TOO HARD,78QR3Wp35dqAhFEc2qAGjE
USSM12105360,LIL NAS X & JACK HARLOW,7jVv8c5Fj3E9VhNjxT4snq,INDUSTRY BABY,27NovPIUIRrOZoCHxABJwK
UK4ZF2000305,JOEL CORRY FT MNEK,6DgP9otnZw5z6daOntINxp,HEAD & HEART,6cx06DFPPHchuUAcTxznu9
USSM12105970,ADELE,4dpARuHxo51G3z768sgnrY,EASY ON ME,0gplL1WMoJ6iYaPgMCL0gX
KRA401900005,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,KILL THIS LOVE,6hvczQ05jc1yGlp9zhb95V
USUM71106449,LADY GAGA,1HY2Jd0NmPuamShAr6KMms,BLOODY MARY,11BKm0j4eYoCPPpCONAVwA
GBCEN2000044,REGARD & RAYE,4ofCBoyEiGSePFAG500xev,SECRETS,66W1rVTnEv86dIkFhoiElg
QZNMX2257577,SUPERSTAR PRIDE,3FBEsNyIwRnOHOf1Rv3SLa,PAINTING PICTURES,7oLKoGzQVwjZ91AzCn560T
USUG12000657,WEEKND,1Xyo4u8uXC1ZmMpatF05PJ,IN YOUR EYES,3BSmBs1mJFi1OHRgQP57zE
USSM12101640,POLO G,6AgTAQt8XS6jRWi4sX7w49,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg
USUG12101248,OLIVIA RODRIGO,1McMsnEElThX1knmY4oliG,JEALOUSY JEALOUSY,0MMyJUC3WNnFS1lit5pTjk
USSM12002247,STAYSOLIDROCKY,1XLWox9w1Yvbodui0SRhUQ,PARTY GIRL,5RqR4ZCCKJDcBLIn4sih9l
