isrc,title,artist
QMCE32000105,SAVAGE,MEGAN THEE STALLION
USSM12212226,CAN'T TAME HER,ZARA LARSSON
QMEU31894160,FEFE,6IX9INE/MINAJ/MURDA BEATZ
USUG11901472,CRUEL SUMMER,TAYLOR SWIFT
USRV82201712,SHIRT,SZA
GBAHS2201158,LET'S GO,TION WAYNE FT AITCH
GB1302000922,THIS CHRISTMAS,JESS GLYNNE
QZFYX2083092,SKECHERS,DRIPREPORT
GBARL1701376,HOLD MY GIRL,GEORGE EZRA
USMC14750470,WHITE CHRISTMAS,BING CROSBY
GBAYE2100544,HIGHER POWER,COLDPLAY
GBAHT1800505,KISS AND MAKE UP,DUA LIPA & BLACKPINK
QMRSZ2101354,HOLIDAY,KSI
GBUM72200940,NIGHT AWAY (DANCE),A1 & J1/TION WAYNE
USRC11903460,STREETS,DOJA CAT
GBUM72000433,HEAT WAVES,GLASS ANIMALS
USAT21813044,JUICE,LIZZO
USUM72013327,HURRICANE,KANYE WEST
GB2DY2000329,WOI,DIGGA D
GBUM72208606,PRETTY BOYS,CAITY BASER
GBAHS2200651,IFTK,TION WAYNE & LA ROUX
GBARL1900476,MOTOROLA,DA BEATFREAKZ/SWARMZ/DENO
USA2P2031043,WHOOPTY,CJ
GBHMU1800051,WOMAN LIKE ME,LITTLE MIX FT NICKI MINAJ
GBKPL2280163,CEILINGS,LIZZY MCALPINE
GB2DY2100498,KEVIN MCCALLISTER,D-BLOCK EUROPE/LIL PINO
GBUM72103544,REMEMBER,BECKY HILL & DAVID GUETTA
GBAHS1901257,FLOWERS,NATHAN DAWE FT JAYKAE
USUM71813195,ALWAYS REMEMBER US THIS WAY,LADY GAGA
USAT21906978,THE BOX,RODDY RICCH
USUM71911283,SENORITA,SHAWN MENDES/CAMILA CABELLO
GBCEN2100080,YOU FOR ME,SIGALA & RITA ORA
USAT22204903,FOR MY HAND,BURNA BOY FT ED SHEERAN
GBARL2201628,STAY WITH ME,HARRIS/TIMBERLAKE/HALSEY
USCM51800206,IN MY FEELINGS,DRAKE
UK6KW1800063,WE BUILT THIS CITY,LADBABY
USAT22104506,RUMORS,LIZZO FT CARDI B
GB7TP1700091,VROOM,YXNG BANE
USUM72004304,RAIN ON ME,LADY GAGA & ARIANA GRANDE
GBHMU1800034,ONLY YOU,CHEAT CODES & LITTLE MIX
GBJX32163033,TELL ME SOMETHING GOOD,EWAN MCVICAR
USUG12002091,LIFE'S A MESS,JUICE WRLD & HALSEY
UKRL31800005,GUN LEAN,RUSS
ZZOPM2106558,LITTLE BIT OF THIS,CENTRAL CEE
